Lab #,#/flatsat,Part Number,Description, Cost/ea ,V(in),Comments,Link,need,have,buy
3 comm,1,WRL15130,Xbee 3 module RF-SMA antenna,21.5,5,FlatSat Transceivers,https://www.sparkfun.com/products/15130,17,10,
3 comm,1,WRL 11812,Xbee explorer USB,27.95,5,Laptop interface w/ Transceiver,https://www.sparkfun.com/products/11812,12,5,
3 comm,2,W1038,rubber ducky antenna,3.58,,Omni directional antennas for both FlatSat & GS,https://www.digikey.com/en/products/detail/pulselarsen-antennas/W1038/1619691,12,5,
3 comm,0.5,WRL-11697,Xbee dongle,27.95,,ground station,,5,5,
